segment,model,trades,win_rate,avg_rr,expectancy,max_dd,pf,final,ret_pct
crypto,plan_c_rules,28,0.17857142857142858,0.5463369993932365,-15.307973260677272,0.09848274003085024,0.8156677313102225,9668.057321920236,-3.3194267807976394
crypto,plan_c_ml,484,0.3409090909090909,2.0797407368699234,531.9622539975765,0.09561792499119562,2.071427048330229,270171.4453887144,2601.714453887144
crypto,plan_d_rules,85,0.2823529411764706,1.4944469014002593,42.49552180120435,0.0929862990493337,1.4734062119417752,13749.615508184208,37.49615508184208
crypto,plan_d_ml,46,0.2391304347826087,1.1808274268553902,19.465065121987735,0.09561792499119556,1.2323898982410815,11005.447470314582,10.054474703145825
commodity,plan_c_rules,68,0.3235294117647059,2.8588737850592194,145.64493881598324,0.09561792499119558,2.482583125274545,20104.904888370547,101.04904888370547
commodity,plan_c_ml,62,0.43548387096774194,3.42700634196396,210.99118004964902,0.0631349493705733,2.808041019742704,23081.453163078244,130.81453163078245
commodity,plan_d_rules,72,0.25,1.2659894678210937,25.512140689101386,0.09630856306315748,1.3055663750438755,11956.438514762924,19.56438514762924
commodity,plan_d_ml,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
forex,plan_c_rules,35,0.14285714285714285,0.4042490383934279,-23.45851823591444,0.09433641099494383,0.7194537598035352,9271.66854721515,-7.283314527848505
forex,plan_c_ml,40,0.225,1.1067288143779614,14.634422530998137,0.08674336463939047,1.1898563967420157,10585.376901239923,5.853769012399225
forex,plan_d_rules,25,0.16,0.5415276565594245,-16.49156981477809,0.09561792499119574,0.807113290524631,9684.556317808632,-3.1544368219136776
forex,plan_d_ml,34,0.3235294117647059,2.0256492961113146,71.86060766307408,0.0947758949763354,1.8353156042948569,12568.950162166182,25.68950162166182
india_equity,plan_c_rules,15,0.06666666666666667,-0.4313698743294269,-65.69885882871398,0.09561792499119554,0.2704308925592936,9105.572846029587,-8.944271539704133
india_equity,plan_c_ml,4,0.5,3.3251804102346365,141.28727756721253,0.019899999999999838,3.7369081852592525,10565.149110268852,5.6514911026885235
india_equity,plan_d_rules,65,0.3230769230769231,1.8964252032353377,70.59614151622367,0.09561792499119558,1.8334119347147275,14736.110301570237,47.36110301570237
india_equity,plan_d_ml,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
